Reference,Specimen,Failure,a/D,ALF,ρlfy/fc,ρvfyv/ft,,,
Davey 1975,No. 1,1,5.5,0.05526513,0.288490789,0.368768469,,,
,No. 2,1,3.5,0.052724204,0.273751098,0.360191285,,Note,"Test configuration: C = cantilever, DC = double curvature specimen"
,No. 3,1,6.5,0.054284092,0.283369651,0.400623098,,,
Munro et al. 1976,No. 1,1,5.46,0.003186762,0.195794754,1.213041152,,,# flexure columns = 221 (represented as 1 in Failure columns)
Ng et al. 1978,No. 2,1,5.36,0.011396011,0.222758857,1.289995477,,,# flexure-shear columns = 53 (FS - 2)
,No. 3,1,3.72,0.321895142,0.194603854,1.396305405,,,# shear columns = 42 (S - 3)
Ang et al. 1981,No. 1,1,4,0.197315532,0.287509967,0.711615146,,,
,No. 2,1,4,0.558816319,0.262289794,1.254814141,,,
Potangaroa et al. 1979,No. 1,1,2,0.226568653,0.258940406,0.656149545,,,
,No. 4,1,2,0.385756431,0.223523025,0.92097192,,,Output variables
,No. 5A,1,2,0.349235594,0.229261195,2.008942253,,,Vmax = maximum shear force (kN)
,No. 5B,1,2,0.698471189,0.229261195,2.008942253,,,"μΔ,u = ultimate displacement ductility"
Ang et al. 1985,No. 9,1,2.5,0.2,0.479464883,1.074224577,,,Δu/L= ultimate drift ratio (%)
Zahn et al. 1986,No. 5,1,4,0.13,0.253222863,0.799203504,,,
,No. 6,1,4,0.58,0.302929573,1.573436656,,,Input variables by Ma and Gong (2017)
Watson & Park 1989,No 10,1,4,0.5,0.215702486,0.588145412,,,"Failure mode: F = flexure, FS = flexure-shear, S = shear"
,No 11,1,4,0.7,0.221233319,1.249441807,,,a/D = shear span-to-column diameter ratio
Wong et al. 1990,No. 1,1,2,0.19,0.356210526,1.072912894,,,ALF = axial load force latio = axial force divided by (compressive concrete strength*column area)
,No. 3,1,2,0.39,0.410810811,1.087315054,,,ρlfy/fc = longitudnal reinforcement ratio*yield strength of longitudinal reinforcement divided by compressive concrete strength 
Petrovski & Ristic 1984,M1E1,1,6.221498371,0.050485847,0.113408734,0.34303401,,,"ρvfyv/ft = transverse reinforcement ratio*yield strength of transverse reinforcement divided by tensile concrete strength, ft = 0.625*sqrt(fc)"
,M1E2,1,6.221498371,0.094789125,0.121554113,0.35513932,,,
Lim et al. 1990,CON1,1,7.480314961,0.24,0.721417069,2.335678293,,,
,CON2,1,3.74015748,0.24,0.721417069,2.335678293,,,
,CON3,1,3.74015748,0.35,0.721417069,2.335678293,,,
"Stone and Cheok, 1989",Flexure,1,6,0.068014912,0.263734717,0.800652518,,,
,Shear,1,3,0.071019587,0.275385648,1.714339271,,,
,Model N1,1,3.010204082,0.10207046,0.367607933,1.976976545,,,
,Model N2,1,3.010204082,0.212711757,0.382970653,2.017863696,,,
,Model N3,1,6.020408163,0.096800518,0.348628176,0.993754064,,,
,Model N4,1,3.010204082,0.100628787,0.362415731,1.962965195,,,
,Model N5,1,3.010204082,0.201865266,0.363442404,1.965743633,,,
,Model N6,1,6.020408163,0.10539228,0.379571505,1.036918152,,,
Arakawa et al. 1988,No. 16,1,1.636363636,0,0.441216589,1.354612463,,,
,No. 20,1,1.636363636,0.117,0.470729405,1.399183949,,,
,No. 21,1,2.181818182,0.113,0.452566212,0.640231437,,,
,No. 26,1,2.181818182,0.222,0.44681934,0.636153488,,,
Kunnath et al. 1997,A2,1,4.498360656,0.094393576,0.314736306,1.174304786,,,
,A3,1,4.498360656,0.094393576,0.314736306,1.174304786,,,
,A4,1,4.498360656,0.085592372,0.257108531,1.061367178,,,
,A5,1,4.498360656,0.085592372,0.257108531,1.061367178,,,
,A6,1,4.498360656,0.085592372,0.257108531,1.061367178,,,
,A7,1,4.498360656,0.092638085,0.278272953,1.104187707,,,
,A8,1,4.498360656,0.092638085,0.278272953,1.104187707,,,
,A9,1,4.498360656,0.093493206,0.280841627,1.109272252,,,
,A10,1,4.498360656,0.101385692,0.338050106,1.217020651,,,
,A11,1,4.498360656,0.101385692,0.338050106,1.217020651,,,
,A12,1,4.498360656,0.101385692,0.338050106,1.217020651,,,
"Hose et al., 1997",Unit 1,1,6,0.148328575,0.294301986,0.885648336,,,
Vu et al. 1998,NH1,1,1.990376203,0.306623849,0.269142551,1.215376895,,,
,NH3,1,1.990376203,0.149959225,0.261628419,1.198290875,,,
,NH4,1,1.991247265,0.148056882,0.69733615,3.071893897,,,
,NH6,1,1.990376203,0.333097647,0.723511905,3.454196208,,,
Kowalsky et al. 1999,FL1,1,8,0.296235152,0.471382628,1.040537387,,,
,FL2,1,8,0.271055164,0.431315104,0.643020664,,,
,FL3,1,8,0.280886181,0.446958657,1.013221926,,,
Lehman et al. 1998,415,1,4,0.072209165,0.218822338,1.183842999,,,
,815,1,8,0.072209165,0.218822338,1.183842999,,,
,1015,1,10,0.072209165,0.218822338,1.183842999,,,
