,Author,Specimen,FailureMode,M/Vlw,lw/tw,"ρvwFy,vw/fc","ρhwFy,vw/fc","ρvcFy,vc/fc","ρhcFy,hc/fc",P/fcAg,Section,Ab/Ag
1,Lefas et al. (1990a),SW11,1,1.100,10.714,0.269,0.137,0.348,0.149,0.000,R,0.000
2,Lefas et al. (1990a),SW12,1,1.100,10.714,0.262,0.133,0.340,0.146,0.102,R,0.000
3,Lefas et al. (1990a),SW13,1,1.100,10.714,0.346,0.176,0.449,0.192,0.208,R,0.000
4,Lefas et al. (1990a),SW14,1,1.100,10.714,0.334,0.170,0.433,0.185,0.000,R,0.000
5,Lefas et al. (1990a),SW15,1,1.100,10.714,0.325,0.165,0.421,0.180,0.102,R,0.000
6,Lefas et al. (1990a),SW16,1,1.100,10.714,0.272,0.138,0.352,0.151,0.212,R,0.000
7,Lefas et al. (1990a),SW17,1,1.100,10.714,0.291,0.050,0.401,0.161,0.000,R,0.000
8,Lefas et al. (1990a),SW21,1,2.115,10.000,0.342,0.121,0.453,0.137,0.000,R,0.000
9,Lefas et al. (1990a),SW22,1,2.115,10.000,0.290,0.103,0.383,0.116,0.106,R,0.000
10,Lefas et al. (1990a),SW23,1,2.115,10.000,0.307,0.109,0.406,0.122,0.212,R,0.000
11,Lefas et al. (1990a),SW24,1,2.115,10.000,0.304,0.108,0.401,0.121,0.000,R,0.000
12,Lefas et al. (1990a),SW25,1,2.115,10.000,0.326,0.116,0.431,0.130,0.214,R,0.000
13,Lefas et al. (1990a),SW26,1,2.115,10.000,0.488,0.086,0.644,0.194,0.000,R,0.000
14,Lefas et al. (1990b),SW30,1,2.115,10.000,0.234,0.060,0.515,0.155,0.000,R,0.000
15,Lefas et al. (1990b),SW31,1,2.115,10.000,0.200,0.052,0.441,0.133,0.000,R,0.000
17,Lefas et al. (1990b),SW32,1,2.115,10.000,0.132,0.034,0.289,0.087,0.000,R,0.000
19,Lefas et al. (1990b),SW33,1,2.115,10.000,0.143,0.037,0.315,0.095,0.000,R,0.000
39,Pilakoutas et al. (1995),SW4,1,2.000,10.000,0.046,0.058,0.383,0.116,0.000,R,0.000
40,Pilakoutas et al. (1995),SW5,3,2.000,10.000,0.081,0.039,0.513,0.021,0.000,R,0.000
41,Pilakoutas et al. (1995),SW6,2,2.000,10.000,0.044,0.032,0.367,0.018,0.000,R,0.000
42,Pilakoutas et al. (1995),SW7,2,2.000,10.000,0.081,0.067,0.510,0.134,0.000,R,0.000
43,Pilakoutas et al. (1995),SW8,1,2.000,10.000,0.037,0.027,0.345,0.036,0.000,R,0.000
44,Pilakoutas et al. (1995),SW9,1,2.000,10.000,0.044,0.032,0.407,0.046,0.000,R,0.000
45,Salonikios et al. (1999),LSW1,4,1.000,12.000,0.157,0.157,0.448,0.467,0.000,R,0.000
46,Salonikios et al. (1999),LSW2,4,1.000,12.000,0.079,0.079,0.352,0.480,0.000,R,0.000
47,Salonikios et al. (1999),LSW3,4,1.000,12.000,0.071,0.071,0.318,0.434,0.070,R,0.000
50,Salonikios et al. (1999),MSW1,1,1.500,12.000,0.133,0.133,0.381,0.257,0.000,R,0.000
51,Salonikios et al. (1999),MSW2,1,1.500,12.000,0.065,0.065,0.290,0.256,0.000,R,0.000
52,Salonikios et al. (1999),MSW3,1,1.500,12.000,0.071,0.071,0.316,0.278,0.070,R,0.000
56,Park et al. (2015),S1,3,1.167,7.500,0.093,0.073,1.287,0.000,0.070,R,0.000
57,Park et al. (2015),S2,3,1.167,7.500,0.093,0.070,1.287,0.000,0.070,R,0.000
58,Park et al. (2015),S3,3,1.167,7.500,0.061,0.048,0.851,0.000,0.070,R,0.000
59,Park et al. (2015),S4,3,1.167,7.500,0.076,0.073,1.287,0.714,0.073,B,0.176
60,Park et al. (2015),S5,3,1.167,7.500,0.051,0.036,1.298,0.000,0.070,R,0.000
61,Park et al. (2015),S6,3,1.167,7.500,0.033,0.024,0.851,0.000,0.070,R,0.000
62,Park et al. (2015),S7,3,1.167,7.500,0.051,0.036,1.287,0.895,0.070,R,0.000
63,Park et al. (2015),S8,1,1.167,7.500,0.051,0.036,0.281,0.889,0.070,R,0.000
86,Teng and Chandra (2016),J1,3,1.200,10.000,0.017,0.017,0.237,0.149,0.050,F,0.306
87,Teng and Chandra (2016),J2,3,1.200,10.000,0.045,0.018,0.253,0.159,0.050,F,0.306
64,Teng and Chandra (2016),J3,3,1.200,10.000,0.015,0.039,0.221,0.132,0.050,F,0.306
65,Teng and Chandra (2016),J4,2,1.200,10.000,0.018,0.018,0.467,0.186,0.050,B,0.302
66,Teng and Chandra (2016),J5,3,2.200,10.000,0.017,0.017,0.237,0.149,0.050,F,0.306
91,Teng and Chandra (2016),J6,3,2.200,10.000,0.045,0.018,0.253,0.159,0.050,F,0.306
67,Teng and Chandra (2016),J7,3,2.200,10.000,0.015,0.039,0.221,0.132,0.050,F,0.306
68,Oesterle et al. (1976),R1,1,2.400,18.750,0.029,0.036,0.168,0.002,0.000,R,0.000
69,Oesterle et al. (1976),R2,1,2.400,18.750,0.029,0.036,0.387,0.239,0.000,R,0.000
70,Oesterle et al. (1976),B1,1,2.400,18.750,0.028,0.030,0.094,0.003,0.000,B,0.292
71,Oesterle et al. (1976),B3,1,2.400,18.750,0.029,0.031,0.103,0.129,0.000,B,0.292
72,Oesterle et al. (1976),B4,1,2.400,18.750,0.032,0.035,0.111,0.143,0.000,B,0.292
73,Oesterle et al. (1976),B2,2,2.400,18.750,0.029,0.063,0.281,0.003,0.000,B,0.292
74,Oesterle et al. (1976),B5,2,2.400,18.750,0.032,0.070,0.359,0.149,0.000,B,0.292
76,Oesterle et al. (1976),F1,2,2.400,18.750,0.041,0.097,0.450,0.196,0.000,F,0.259
77,Oesterle et al. (1979),B6,2,2.400,18.750,0.068,0.148,0.741,0.190,0.134,B,0.292
78,Oesterle et al. (1979),B7,2,2.400,18.750,0.029,0.063,0.341,0.134,0.076,B,0.292
79,Oesterle et al. (1979),B8,2,2.400,18.750,0.031,0.158,0.391,0.155,0.089,B,0.292
80,Oesterle et al. (1979),B9,2,2.400,18.750,0.030,0.066,0.357,0.141,0.085,B,0.292
82,Oesterle et al. (1979),B10,1,2.400,18.750,0.030,0.066,0.193,0.141,0.082,B,0.292
83,Oesterle et al. (1979),F2,2,2.400,18.750,0.029,0.064,0.442,0.145,0.073,F,0.259
84,Cheng et al. (2016),M60,4,1.000,10.000,0.036,0.036,0.365,0.329,0.000,R,0.000
85,Cheng et al. (2016),M115,4,1.000,10.000,0.031,0.031,0.359,0.585,0.000,R,0.000
86,Cheng et al. (2016),H60,4,1.000,10.000,0.089,0.089,0.532,0.306,0.000,R,0.000
87,Cheng et al. (2016),H115,4,1.000,10.000,0.075,0.075,0.464,0.518,0.000,R,0.000
88,Cheng et al. (2016),H60X,4,1.000,10.000,0.093,0.093,0.557,0.159,0.000,R,0.000
89,Alarcon et al. (2014),W1,1,2.500,7.000,0.117,0.098,0.077,0.000,0.150,R,0.000
90,Alarcon et al. (2014),W2,1,2.500,7.000,0.117,0.098,0.077,0.000,0.250,R,0.000
91,Alarcon et al. (2014),W3,1,2.500,7.000,0.117,0.098,0.077,0.000,0.350,R,0.000
92,Tran (2012),RW-A20-P10-S38,2,2.000,8.020,0.026,0.030,0.324,0.142,0.073,R,0.000
93,Tran (2012),RW-A20-P10-S63,1,2.000,8.020,0.056,0.056,0.698,0.118,0.073,R,0.000
94,Tran (2012),RW-A15-P10-S51,1,1.500,8.020,0.030,0.034,0.312,0.137,0.077,R,0.000
95,Tran (2012),RW-A15-P10-S78,4,1.500,8.020,0.058,0.058,0.518,0.103,0.064,R,0.000
96,Tran (2012),RW-A15-P2.5-S64,4,1.500,8.020,0.047,0.047,0.503,0.100,0.016,R,0.000
97,Hube et al. (2017),WSL1,3,1.094,16.000,0.031,0.042,0.030,0.167,0.000,R,0.000
98,Hube et al. (2017),WSL2,4,1.094,16.000,0.031,0.042,0.030,0.063,0.000,R,0.000
99,Hube et al. (2017),WSL3,3,1.094,16.000,0.040,0.054,0.039,0.166,0.000,R,0.000
100,Hube et al. (2017),WSL4,3,1.094,16.000,0.022,0.031,0.021,0.175,0.000,R,0.000
101,Hube et al. (2017),WSL5,2,1.094,16.000,0.031,0.031,0.030,0.123,0.000,R,0.000
102,Hube et al. (2017),WSL6,3,1.094,16.000,0.022,0.022,0.021,0.123,0.000,R,0.000
103,Hube et al. (2017),WSL7,3,1.094,18.824,0.039,0.052,0.038,0.125,0.000,R,0.000
104,Hube et al. (2017),WSL8,3,1.094,18.824,0.026,0.037,0.026,0.131,0.000,R,0.000
105,Hube et al. (2017),WSL9,2,1.094,18.824,0.039,0.039,0.038,0.093,0.000,R,0.000
121,Liu et al. (2009),M05C,2,2.500,13.368,0.142,0.184,0.540,0.226,0.075,B,0.385
123,Liu et al. (2009),M10C,2,2.500,13.368,0.124,0.178,0.441,0.218,0.061,B,0.385
125,Liu et al. (2009),M15C,1,2.500,13.368,0.088,0.116,0.290,0.225,0.043,B,0.385
127,Liu et al. (2009),M20C,1,2.500,13.368,0.049,0.083,0.189,0.077,0.026,B,0.385
130,Ghorbani-Renani et al. (2009),A2C,4,2.077,6.500,0.093,0.094,0.622,0.351,0.000,R,0.000
132,Ghorbani-Renani et al. (2009),B2C,1,2.080,6.524,0.068,0.064,0.341,0.253,0.000,R,0.000
133,Hirosawa (1975),Endo_1-3,2,0.833,28.125,0.038,0.034,0.112,0.054,0.053,B,0.236
134,Hirosawa (1975),Endo_1-5,1,0.389,45.000,0.189,0.182,0.112,0.244,0.067,B,0.294
135,Hirosawa (1975),Hirosawa_1-1,1,1.167,20.000,0.029,0.026,0.223,0.008,0.000,B,0.313
136,Hirosawa (1975),Hirosawa_1-2,1,1.167,20.000,0.025,0.023,0.193,0.007,0.036,B,0.313
137,Hirosawa (1975),Hirosawa_1-3,1,1.167,20.000,0.025,0.023,0.195,0.007,0.073,B,0.313
138,Hirosawa (1975),Hirosawa_1-4,1,1.167,20.000,0.026,0.024,0.204,0.007,0.153,B,0.313
139,Hirosawa (1975),Hirosawa_2-1,1,1.167,20.000,0.034,0.034,0.288,0.009,0.000,B,0.313
140,Hirosawa (1975),Hirosawa_2-2,1,1.167,20.000,0.034,0.034,0.288,0.009,0.000,B,0.313
141,Hirosawa (1975),Hirosawa_2-3,1,1.167,20.000,0.023,0.021,0.176,0.006,0.066,B,0.313
146,Hirosawa (1975),Kokusho_1-1,3,0.500,14.333,0.000,0.000,0.116,0.000,0.000,F,0.224
147,Hirosawa (1975),Kokusho_1-2,3,0.500,14.333,0.061,0.070,0.116,0.012,0.000,F,0.224
148,Hirosawa (1975),Kokusho_1-3,3,0.500,14.333,0.081,0.093,0.154,0.015,0.000,F,0.224
149,Hirosawa (1975),Kokusho_1-4,3,0.500,14.333,0.073,0.083,0.154,0.013,0.000,F,0.224
150,Hirosawa (1975),Kokusho_1-5,3,0.500,14.333,0.081,0.093,0.154,0.015,0.000,F,0.224
151,Hirosawa (1975),Kokusho_1-6,3,0.500,14.333,0.085,0.097,0.161,0.016,0.000,F,0.224
152,Hirosawa (1975),Kokusho_1-7,3,0.500,14.333,0.085,0.097,0.161,0.016,0.000,F,0.224
153,Hirosawa (1975),Kokusho_2-1,3,0.500,17.200,0.065,0.074,0.108,0.011,0.000,F,0.242
154,Hirosawa (1975),Kokusho_2-2,3,0.500,18.696,0.106,0.121,0.159,0.016,0.000,F,0.253
155,Hirosawa (1975),Kokusho_2-3,3,0.500,17.200,0.079,0.090,0.159,0.013,0.000,F,0.242
156,Hirosawa (1975),Kokusho_2-4,3,0.500,21.500,0.116,0.132,0.185,0.015,0.000,F,0.270
157,Hirosawa (1975),Kokusho_2-5,3,0.500,18.696,0.114,0.119,0.143,0.012,0.000,F,0.253
158,Hirosawa (1975),Kokusho_2-6,3,0.500,17.917,0.116,0.122,0.153,0.012,0.000,F,0.247
159,Hirosawa (1975),Kokusho_3-1,3,0.930,18.696,0.000,0.000,0.436,0.000,0.000,F,0.253
160,Hirosawa (1975),Kokusho_3-2,3,0.930,17.917,0.000,0.000,0.436,0.000,0.000,F,0.247
161,Hirosawa (1975),Kokusho_3-3,3,0.930,15.926,0.113,0.108,0.436,0.020,0.000,F,0.233
162,Hirosawa (1975),Kokusho_3-4,3,0.930,17.917,0.102,0.098,0.436,0.016,0.000,F,0.247
163,Hirosawa (1975),Kokusho_3-5,3,0.930,19.545,0.100,0.096,0.382,0.014,0.000,F,0.258
164,Hirosawa (1975),Kokusho_3-6,3,0.930,26.875,0.162,0.155,0.448,0.017,0.000,F,0.298
165,Hirosawa (1975),Kokusho_3-7,3,0.930,19.545,0.132,0.130,0.346,0.013,0.000,F,0.258
166,Hirosawa (1975),Kokusho_3-8,3,0.930,19.545,0.141,0.139,0.368,0.014,0.000,F,0.258
167,Hirosawa (1975),Hirosawa_7-1,2,1.000,10.625,0.118,0.063,1.243,0.226,0.114,R,0.000
168,Hirosawa (1975),Hirosawa_7-2,3,1.000,10.625,0.098,0.052,1.028,0.187,0.094,R,0.000
169,Hirosawa (1975),Hirosawa_7-3,2,1.000,10.625,0.098,0.115,1.028,0.377,0.094,R,0.000
170,Hirosawa (1975),Hirosawa_7-4,1,1.000,10.625,0.148,0.175,1.560,0.572,0.143,R,0.000
171,Hirosawa (1975),Hirosawa_7-5,2,1.000,10.625,0.138,0.305,1.454,1.050,0.133,R,0.000
172,Hirosawa (1975),Hirosawa_7-6,1,1.000,10.625,0.111,0.245,1.168,0.843,0.107,R,0.000
173,Hirosawa (1975),Hirosawa_8-1,1,1.000,10.625,0.098,0.123,0.461,0.376,0.094,R,0.000
174,Hirosawa (1975),Hirosawa_8-2,2,1.000,10.625,0.148,0.187,0.700,0.571,0.143,R,0.000
175,Hirosawa (1975),Hirosawa_8-3,1,1.000,10.625,0.138,0.305,0.652,1.050,0.133,R,0.000
176,Hirosawa (1975),Hirosawa_8-4,1,1.000,10.625,0.111,0.245,0.524,0.843,0.107,R,0.000
177,Hirosawa (1975),Hirosawa_9-1,1,2.000,5.313,0.078,0.115,1.811,0.377,0.094,R,0.000
178,Hirosawa (1975),Hirosawa_9-2,1,2.000,5.313,0.091,0.135,2.116,0.440,0.110,R,0.000
179,Hirosawa (1975),Hirosawa_9-3,1,2.000,5.313,0.091,0.252,1.789,0.867,0.110,R,0.000
180,Hirosawa (1975),Hirosawa_9-4,1,2.000,5.313,0.078,0.215,1.531,0.742,0.094,R,0.000
181,Hirosawa (1975),Tanabe_1-1,3,0.786,42.000,0.000,0.000,0.349,0.000,0.000,B,0.308
182,Hirosawa (1975),Tanabe_1-2,3,0.786,21.000,0.000,0.000,0.349,0.000,0.000,B,0.222
183,Hirosawa (1975),Tanabe_1-3,3,0.786,10.500,0.000,0.000,0.498,0.000,0.000,B,0.100
184,Hirosawa (1975),Tanabe_2-1,3,0.842,28.500,0.000,0.000,0.540,0.000,0.000,B,0.222
185,Hirosawa (1975),Tanabe_2-2,3,0.842,19.000,0.000,0.000,0.538,0.000,0.000,B,0.174
186,Hirosawa (1975),Tanabe_2-3,3,0.842,14.250,0.000,0.000,0.519,0.000,0.000,B,0.143
187,Hirosawa (1975),Tanabe_2-4,3,0.842,57.000,0.327,0.327,0.541,0.014,0.000,B,0.308
188,Hirosawa (1975),Tanabe_2-5,3,0.842,28.500,0.152,0.152,0.504,0.013,0.000,B,0.222
189,Hirosawa (1975),Tanabe_2-6,3,0.842,28.500,0.173,0.173,0.574,0.015,0.000,B,0.222
190,Hirosawa (1975),Tanabe_2-7,3,0.842,28.500,0.149,0.149,0.495,0.013,0.000,B,0.222
191,Hirosawa (1975),Tanabe_2-8,3,0.842,19.000,0.097,0.097,0.485,0.013,0.000,B,0.174
192,Hirosawa (1975),Tanabe_2-9,3,0.842,19.000,0.101,0.101,0.504,0.013,0.000,B,0.174
193,Hirosawa (1975),Tanabe_2-10,3,0.842,19.000,0.103,0.103,0.511,0.013,0.000,B,0.174
194,Hirosawa (1975),Tanabe_2-11,3,0.842,14.250,0.080,0.080,0.527,0.014,0.000,B,0.143
195,Hirosawa (1975),Tanabe_2-12,3,0.842,14.250,0.074,0.074,0.489,0.013,0.000,B,0.143
196,Hirosawa (1975),Tanabe_2-13,3,0.842,14.250,0.073,0.073,0.482,0.012,0.000,B,0.143
197,Hirosawa (1975),Tanabe_3-1,3,0.842,57.000,0.117,0.117,0.300,0.010,0.000,B,0.308
198,Hirosawa (1975),Tanabe_3-2,3,0.842,57.000,0.124,0.124,0.317,0.011,0.000,B,0.308
199,Hirosawa (1975),Tanabe_3-3,3,0.842,28.500,0.125,0.125,0.320,0.011,0.000,B,0.222
